"","id","family_id","name","latitude","longitude"
"224","budu1250","atla1278","Budu",2.00501,27.951
"225","budz1238","atla1278","Budza",2.19951,22.6107
"226","buku1249","atla1278","Bukusu",0.68043,34.7719
"227","bukw1238","atla1278","Bukwen",6.9415,10.2006
"228","buli1254","atla1278","Buli (Ghana)",10.5763,-1.26748
"229","bull1247","atla1278","Bullom So",9,-13.16
"230","bulu1251","atla1278","Bulu (Cameroon)",3.16141,11.6365
"231","buma1244","atla1278","Bumaji",6.4491,9.36028
"232","bumm1238","atla1278","Bum",6.48655,10.418
"233","bung1259","atla1278","Bung",6.40736,11.6389
"234","bung1265","atla1278","Bungu",-8.32587,32.8801
"235","bura1271","atla1278","Burak",9.49451,11.0698
"236","buru1299","atla1278","Buru-Angwe",7.01091,10.8617
"237","busa1251","atla1278","Busam",5.8604,9.68068
"238","bush1247","atla1278","Bushoong",-4.69463,21.4556
"239","busu1244","atla1278","Busuu",6.68152,9.78433
"240","buuu1244","atla1278","Bu",9.05077,8.65697
"241","buuu1246","atla1278","Buu",6.54,10.28
"242","buyu1239","atla1278","Buyu",-5.41806,28.5545
"243","bwaa1238","atla1278","Bwa",2.5957,25.2514
"244","bwel1238","atla1278","Bwela",3.22,19.28
"245","bwil1245","atla1278","Bwile",-8.3041,29.4071
"246","bwis1242","atla1278","Bwisi",-3.23686,11.9595
"247","byep1241","atla1278","Byep-Besep",4.57276,13.46245
"248","caka1240","atla1278","Caka",6.26979,9.77746
"249","came1252","atla1278","Donga Mambila",6.43829,11.41953
"250","cara1270","atla1278","Cara",10.1281,8.74567
"251","ceba1235","atla1278","Senari",9.50768,-6.15264
"252","cenn1238","atla1278","Cen",9.6896,9.0218
"253","cent2018","atla1278","Central-Eastern Niger Fulfulde",15.0907,8.43261
"254","cent2312","atla1278","Central Mfumte",6.67876,10.967982
"255","cerm1238","atla1278","Cerma",10.1245,-4.94917
"256","chak1271","atla1278","Chakali",9.83446,-1.90181
"257","chal1269","atla1278","Chala",8.00089,0.50896
"258","chee1238","atla1278","Che",10.0031,8.67024
"259","cher1271","atla1278","Cherepon",6.05387,-0.10955
"260","chig1238","atla1278","Chiga",-1.04387,29.9122
"261","chim1312","atla1278","Chimwiini",1.111787,44.026991
"262","chok1245","atla1278","Chokwe",-9.66082,21.3992
"263","chon1287","atla1278","Chonyi-Dzihana-Kauma",-6.518,38.672
"264","chop1243","atla1278","Chopi",-24.8327,34.1097
"265","chuk1274","atla1278","Chuka",-0.27405,37.6116
"266","chum1261","atla1278","Chumburung",8.15211,-0.2755
"267","chuw1238","atla1278","Chuwabu",-17.3428,37.1231
"268","cici1237","atla1278","Cicipu",11.0417,5.54073
"269","cigb1235","atla1278","Ci Gbe",6.84217,2.02134
"270","cind1241","atla1278","Yara",10.3419,5.84212
"271","cish1238","atla1278","Western-Kambari-Cishingini",9.88458,4.48564
"272","clel1238","atla1278","C'lela",11.4653,5.26544
"273","como1258","atla1278","Como Karim",8.86601,10.816
"274","cong1236","atla1278","Congo Swahili",-7.2692,27.4196
"275","cori1240","atla1278","Kyoli",9.59,8.06
"276","cros1244","atla1278","Cross River Mbembe",6.16926,8.23592
"277","cuba1236","atla1278","Cuba",10.260725,4.684594
"278","cung1238","atla1278","Chung",6.59687,10.4104
"279","cutc1238","atla1278","Cutchi-Swahili",-3.13905,38.6217
"280","cwib1235","atla1278","Cwi Bwamu",11.4182,-2.95115
"281","dadi1249","atla1278","Dadiya",9.62705,11.3587
"282","daga1272","atla1278","Dagaari Dioula",11.6839,-2.48569
"283","dagb1246","atla1278","Dagbani",9.64745,-0.43227
"284","dama1267","atla1278","Dama (Cameroon)",8.72207,14.0597
"285","dama1268","atla1278","Damakawa",11.0808,5.4914
"286","dayy1236","atla1278","Day",8.52612,17.5146
"287","defi1235","atla1278","Defi Gbe",6.40718,2.68609
"288","dege1246","atla1278","Degema",4.73373,6.80991
"289","degg1238","atla1278","Deg",8.43846,-2.28724
"290","delo1240","atla1278","Delo",7.90997,0.59728
"291","dema1235","atla1278","Dema",-15.6894,32.7731
"292","dend1242","atla1278","Dendi (Central African Republic)",4.48146,22.566
"293","deng1250","atla1278","Dengese",-3.26337,21.4194
"294","deny1238","atla1278","Denya",5.97237,9.39989
"295","dhai1238","atla1278","Dhaiso",-4.81209,38.818
"296","dibo1245","atla1278","Dibole",1.07773,17.2305
"297","dibo1247","atla1278","Dibo",9.0611,6.3731
"298","digo1243","atla1278","Digo",-4.62101,39.1752
"299","diii1241","atla1278","Dii",7.77412,13.9884
"300","diji1241","atla1278","Dijim-Bwilim",9.67567,11.5201
"301","dimb1238","atla1278","Dimbong",4.80551,10.9888
"302","ding1239","atla1278","Ding",-4.44304,19.3881
"303","diri1252","atla1278","Diriku-Shambyu",-18.1681,20.6678
"304","diri1253","atla1278","Jirim",8.36,11.05
"305","dita1238","atla1278","Ditammari",10.1614,1.18045
"306","djim1235","atla1278","Djimini Senoufo",8.36279,-4.45627
"307","doee1238","atla1278","Doe",-6.25844,38.4902
"308","dogo1294","atla1278","Dogoso",10.0489,-4.35805
"309","dogo1295","atla1278","Dogosé",10.1899,-4.1493
"310","doka1242","atla1278","Ejuele",10.2287,7.96099
"311","doko1243","atla1278","Deko-Dusanga",5.39961,8.26925
"312","domb1246","atla1278","Toka-Leya-Dombe",-18.37,26.502
"313","domp1238","atla1278","Dompo",8.182,-2.295
"314","dong1290","atla1278","Dongo",2.96683,29.9619
"315","dong1293","atla1278","Dong",8.64119,11.9924
"316","doon1238","atla1278","Doondo",-4.30483,13.5641
"317","doya1240","atla1278","Doyayo",8.68604,13.0768
"318","dual1243","atla1278","Duala",4.10208,9.61877
"319","dugu1248","atla1278","Dugun",8.38689,13.3966
"320","dugu1249","atla1278","Duguri",10.05,10.21
"321","dulb1238","atla1278","Dulbu",10.1911,9.94759
"322","duli1241","atla1278","Duli-Gewe",9.11241,13.4232
"323","duma1253","atla1278","Duma",-0.91927,13.0046
"324","duru1249","atla1278","Duruma",-4.09629,39.322
"325","duup1238","atla1278","Duupa",8.55031,13.4544
"326","dwan1238","atla1278","Dwang",7.70712,-0.43011
"327","dyan1251","atla1278","Dyan",10.8342,-3.59179
"328","dzaa1238","atla1278","Dza",9.26671,11.3884
"329","dzan1238","atla1278","Dzando",2.24195,19.0022
"330","dzod1238","atla1278","Dzodinka",6.89005,10.7633
"331","east2387","atla1278","East Limba",9.71107,-11.7496
"332","east2390","atla1278","Eastern Xwla Gbe",6.37803,2.54987
"333","east2398","atla1278","Eastern Karaboro",10.4987,-4.52253
"334","east2403","atla1278","Eastern Acipa",10.7104,6.0105
"335","east2409","atla1278","East Nyala",0.38163,34.6626
"336","east2782","atla1278","Eastern Kikongo",-5.25,15.5
"337","ebir1243","atla1278","Ebira",8.15516,7.06183
"338","ebri1238","atla1278","Ebrié",5.36868,-4.03188
"339","ebug1241","atla1278","Ebughu",4.82544,8.01304
"340","edec1238","atla1278","Ede Cabe",7.78176,2.48128
"341","edei1244","atla1278","Ede Idaca",7.78428,2.27039
"342","edei1245","atla1278","Ede Ije",7.09729,2.64262
"343","edei1246","atla1278","Ede Ica",8.46128,1.82137
"344","eden1244","atla1278","Ede Nago",6.75763,2.64908
"345","efai1241","atla1278","Efai",4.60447,8.27625
"346","efik1245","atla1278","Efik",4.89379,8.38121
"347","efut1241","atla1278","Efutu",5.34699,-0.62723
"348","efut1242","atla1278","Efutop",5.92431,8.35425
"349","egaa1242","atla1278","Ega",5.56081,-5.41732
"350","egbu1235","atla1278","Egbuta",1.894874,22.680426
"351","eggo1239","atla1278","Eggon",8.71442,8.45686
"352","ehue1238","atla1278","Ehueun",7.450998,5.858846
"353","ejag1239","atla1278","Ejagham",5.54442,8.90959
"354","ejam1238","atla1278","Ejamat",12.3355,-16.515
"355","ekaj1238","atla1278","Ekajuk",6.45731,8.55058
"356","ekii1241","atla1278","Eki",5.1503,8.13613
"357","ekit1246","atla1278","Ekit",4.7645,7.89222
"358","ekpe1253","atla1278","Ekpeye",5.06715,6.53362
"359","elem1253","atla1278","Eleme",4.72964,7.267
"360","elip1238","atla1278","Elip",4.45694,11.193
"361","eloy1241","atla1278","Ajiri",8.24696,7.97061
"362","emai1241","atla1278","Emai-Iuleha-Ora",7.09089,5.84494
"363","eman1238","atla1278","Eman",6.22923,9.70562
"364","embu1241","atla1278","Embu",-0.62822,37.5933
"365","enge1239","atla1278","Egene",5.11931,6.37339
"366","enwa1245","atla1278","Enwan (Akwa Ibom State)",4.68739,8.20974
"367","enwa1246","atla1278","Enwan (Edo State)",7.15316,6.07393
"368","enya1247","atla1278","Enya-Kisangani",0.56,25.15
"369","enya1249","atla1278","Enya-Kindu",-4.1,26
"370","epie1238","atla1278","Epie",5.00894,6.3146
"371","eruw1238","atla1278","Eruwa",5.18026,6.04818
"372","esan1238","atla1278","Esan",6.25685,6.33917
"373","esim1238","atla1278","Esimbi",6.50094,9.86936
"374","eteb1238","atla1278","Etebi",4.79059,7.97357
"375","eten1239","atla1278","Eten",9.73073,8.61443
"376","etky1238","atla1278","Etkywan",7.13773,10.3501
"377","eton1253","atla1278","Eton-Mengisa",4.21045,11.3935
"378","etul1245","atla1278","Etulo",7.75865,9.44447
"379","evan1238","atla1278","Evant",6.34906,9.46432
"380","eviy1235","atla1278","Viya",-1.22,10.58
"381","ewee1241","atla1278","Ewe",6.46061,0.814975
"382","ewon1239","atla1278","Ewondo",4.21141,11.93646
"383","famm1241","atla1278","Fam",7.54277,10.505
"384","fang1246","atla1278","Fang (Equatorial Guinea)",1.723965,11.61454
"385","fang1248","atla1278","Fang (Cameroon)",6.54384,10.319
"386","fani1244","atla1278","Fania",10.291,18.75
"387","fare1241","atla1278","Farefare",11.0918,-0.81109
"388","fefe1239","atla1278","Fe'fe'",5.18158,10.1442
"389","fero1244","atla1278","Feroge",8.61612,25.7171
"390","fioo1234","atla1278","Fio",6.31256,10.2936
"391","fipa1238","atla1278","Fipa",-7.88963,31.3442
"392","fira1238","atla1278","Firan",9.65245,8.69095
"393","fonn1241","atla1278","Fon",7.15484,1.66495
"394","food1238","atla1278","Foodo",9.56489,1.40486
